text,label
Bom dia a todos! Apenas para informar 33,0
Preciso de uma reunião para discutir o projeto 291,1
Preciso de uma reunião para discutir o projeto 314,1
Preciso de uma reunião para discutir o projeto 55,1
Preciso de uma reunião para discutir o projeto 387,1
Bom dia a todos! Apenas para informar 14,0
Bom dia a todos! Apenas para informar 87,0
Bom dia a todos! Apenas para informar 163,0
Preciso de uma reunião para discutir o projeto 605,1
Preciso de uma reunião para discutir o projeto 194,1
Preciso de uma reunião para discutir o projeto 324,1
Bom dia a todos! Apenas para informar 133,0
Preciso de uma reunião para discutir o projeto 160,1
Bom dia a todos! Apenas para informar 118,0
Bom dia a todos! Apenas para informar 8,0
Preciso de uma reunião para discutir o projeto 692,1
Preciso de uma reunião para discutir o projeto 346,1
Preciso de uma reunião para discutir o projeto 161,1
Preciso de uma reunião para discutir o projeto 193,1
Bom dia a todos! Apenas para informar 25,0
Bom dia a todos! Apenas para informar 169,0
Preciso de uma reunião para discutir o projeto 43,1
Bom dia a todos! Apenas para informar 176,0
Preciso de uma reunião para discutir o projeto 6,1
Bom dia a todos! Apenas para informar 147,0
Bom dia a todos! Apenas para informar 7,0
Preciso de uma reunião para discutir o projeto 510,1
Bom dia a todos! Apenas para informar 132,0
Preciso de uma reunião para discutir o projeto 722,1
Preciso de uma reunião para discutir o projeto 348,1
Preciso de uma reunião para discutir o projeto 107,1
Bom dia a todos! Apenas para informar 150,0
Preciso de uma reunião para discutir o projeto 330,1
Bom dia a todos! Apenas para informar 185,0
Preciso de uma reunião para discutir o projeto 682,1
Bom dia a todos! Apenas para informar 20,0
Preciso de uma reunião para discutir o projeto 777,1
Preciso de uma reunião para discutir o projeto 517,1
Preciso de uma reunião para discutir o projeto 238,1
Bom dia a todos! Apenas para informar 189,0
Bom dia a todos! Apenas para informar 77,0
Preciso de uma reunião para discutir o projeto 640,1
Bom dia a todos! Apenas para informar 161,0
Preciso de uma reunião para discutir o projeto 527,1
Bom dia a todos! Apenas para informar 143,0
Preciso de uma reunião para discutir o projeto 621,1
Preciso de uma reunião para discutir o projeto 675,1
Bom dia a todos! Apenas para informar 26,0
Bom dia a todos! Apenas para informar 183,0
Bom dia a todos! Apenas para informar 173,0
Bom dia a todos! Apenas para informar 18,0
Bom dia a todos! Apenas para informar 195,0
Preciso de uma reunião para discutir o projeto 159,1
Preciso de uma reunião para discutir o projeto 588,1
Bom dia a todos! Apenas para informar 119,0
Bom dia a todos! Apenas para informar 68,0
Bom dia a todos! Apenas para informar 95,0
Preciso de uma reunião para discutir o projeto 149,1
Preciso de uma reunião para discutir o projeto 710,1
Preciso de uma reunião para discutir o projeto 301,1
Preciso de uma reunião para discutir o projeto 541,1
Preciso de uma reunião para discutir o projeto 543,1
Bom dia a todos! Apenas para informar 41,0
Bom dia a todos! Apenas para informar 40,0
Preciso de uma reunião para discutir o projeto 282,1
Bom dia a todos! Apenas para informar 20,0
Preciso de uma reunião para discutir o projeto 26,1
Bom dia a todos! Apenas para informar 104,0
Preciso de uma reunião para discutir o projeto 496,1
Preciso de uma reunião para discutir o projeto 403,1
Bom dia a todos! Apenas para informar 168,0
Preciso de uma reunião para discutir o projeto 203,1
Bom dia a todos! Apenas para informar 97,0
Preciso de uma reunião para discutir o projeto 733,1
Preciso de uma reunião para discutir o projeto 306,1
Bom dia a todos! Apenas para informar 135,0
Bom dia a todos! Apenas para informar 107,0
Bom dia a todos! Apenas para informar 11,0
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 114,0
Bom dia a todos! Apenas para informar 21,0
Bom dia a todos! Apenas para informar 169,0
Bom dia a todos! Apenas para informar 69,0
Preciso de uma reunião para discutir o projeto 434,1
Bom dia a todos! Apenas para informar 124,0
Bom dia a todos! Apenas para informar 55,0
Preciso de uma reunião para discutir o projeto 7,1
Preciso de uma reunião para discutir o projeto 607,1
Preciso de uma reunião para discutir o projeto 394,1
Preciso de uma reunião para discutir o projeto 558,1
Bom dia a todos! Apenas para informar 79,0
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 155,0
Preciso de uma reunião para discutir o projeto 92,1
Preciso de uma reunião para discutir o projeto 180,1
Preciso de uma reunião para discutir o projeto 137,1
Preciso de uma reunião para discutir o projeto 146,1
Bom dia a todos! Apenas para informar 37,0
Bom dia a todos! Apenas para informar 105,0
Preciso de uma reunião para discutir o projeto 95,1
Preciso de uma reunião para discutir o projeto 237,1
Preciso de uma reunião para discutir o projeto 201,1
Preciso de uma reunião para discutir o projeto 532,1
Preciso de uma reunião para discutir o projeto 4,1
Preciso de uma reunião para discutir o projeto 401,1
Preciso de uma reunião para discutir o projeto 567,1
Preciso de uma reunião para discutir o projeto 773,1
Preciso de uma reunião para discutir o projeto 580,1
Preciso de uma reunião para discutir o projeto 127,1
Bom dia a todos! Apenas para informar 190,0
Bom dia a todos! Apenas para informar 39,0
Preciso de uma reunião para discutir o projeto 694,1
Bom dia a todos! Apenas para informar 165,0
Bom dia a todos! Apenas para informar 98,0
Bom dia a todos! Apenas para informar 199,0
Bom dia a todos! Apenas para informar 99,0
Preciso de uma reunião para discutir o projeto 77,1
Bom dia a todos! Apenas para informar 117,0
Preciso de uma reunião para discutir o projeto 305,1
Preciso de uma reunião para discutir o projeto 557,1
Preciso de uma reunião para discutir o projeto 406,1
Bom dia a todos! Apenas para informar 30,0
Preciso de uma reunião para discutir o projeto 9,1
Preciso de uma reunião para discutir o projeto 598,1
Bom dia a todos! Apenas para informar 118,0
Preciso de uma reunião para discutir o projeto 181,1
Preciso de uma reunião para discutir o projeto 490,1
Preciso de uma reunião para discutir o projeto 569,1
Bom dia a todos! Apenas para informar 79,0
Preciso de uma reunião para discutir o projeto 652,1
Preciso de uma reunião para discutir o projeto 473,1
Bom dia a todos! Apenas para informar 151,0
Bom dia a todos! Apenas para informar 160,0
Bom dia a todos! Apenas para informar 105,0
Preciso de uma reunião para discutir o projeto 723,1
Preciso de uma reunião para discutir o projeto 649,1
Preciso de uma reunião para discutir o projeto 260,1
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 81,0
Preciso de uma reunião para discutir o projeto 27,1
Bom dia a todos! Apenas para informar 61,0
Bom dia a todos! Apenas para informar 191,0
Preciso de uma reunião para discutir o projeto 118,1
Bom dia a todos! Apenas para informar 45,0
Bom dia a todos! Apenas para informar 66,0
Preciso de uma reunião para discutir o projeto 396,1
Preciso de uma reunião para discutir o projeto 247,1
Bom dia a todos! Apenas para informar 129,0
Preciso de uma reunião para discutir o projeto 776,1
Preciso de uma reunião para discutir o projeto 630,1
Preciso de uma reunião para discutir o projeto 390,1
Preciso de uma reunião para discutir o projeto 186,1
Bom dia a todos! Apenas para informar 162,0
Preciso de uma reunião para discutir o projeto 334,1
Preciso de uma reunião para discutir o projeto 671,1
Bom dia a todos! Apenas para informar 7,0
Bom dia a todos! Apenas para informar 102,0
Bom dia a todos! Apenas para informar 28,0
Bom dia a todos! Apenas para informar 8,0
Preciso de uma reunião para discutir o projeto 428,1
Bom dia a todos! Apenas para informar 14,0
Preciso de uma reunião para discutir o projeto 273,1
Bom dia a todos! Apenas para informar 74,0
Preciso de uma reunião para discutir o projeto 246,1
Bom dia a todos! Apenas para informar 142,0
Bom dia a todos! Apenas para informar 187,0
Bom dia a todos! Apenas para informar 78,0
Bom dia a todos! Apenas para informar 138,0
Preciso de uma reunião para discutir o projeto 195,1
Preciso de uma reunião para discutir o projeto 454,1
Preciso de uma reunião para discutir o projeto 792,1
Bom dia a todos! Apenas para informar 102,0
Preciso de uma reunião para discutir o projeto 333,1
Bom dia a todos! Apenas para informar 74,0
Bom dia a todos! Apenas para informar 73,0
Preciso de uma reunião para discutir o projeto 228,1
Bom dia a todos! Apenas para informar 0,0
Preciso de uma reunião para discutir o projeto 311,1
Preciso de uma reunião para discutir o projeto 308,1
Bom dia a todos! Apenas para informar 63,0
Preciso de uma reunião para discutir o projeto 245,1
Preciso de uma reunião para discutir o projeto 422,1
Bom dia a todos! Apenas para informar 154,0
Preciso de uma reunião para discutir o projeto 361,1
Bom dia a todos! Apenas para informar 60,0
Preciso de uma reunião para discutir o projeto 465,1
Bom dia a todos! Apenas para informar 127,0
Preciso de uma reunião para discutir o projeto 299,1
Preciso de uma reunião para discutir o projeto 525,1
Preciso de uma reunião para discutir o projeto 5,1
Preciso de uma reunião para discutir o projeto 117,1
Bom dia a todos! Apenas para informar 192,0
Preciso de uma reunião para discutir o projeto 69,1
Preciso de uma reunião para discutir o projeto 757,1
Preciso de uma reunião para discutir o projeto 683,1
Preciso de uma reunião para discutir o projeto 760,1
Preciso de uma reunião para discutir o projeto 93,1
Bom dia a todos! Apenas para informar 40,0
Preciso de uma reunião para discutir o projeto 432,1
Bom dia a todos! Apenas para informar 87,0
Preciso de uma reunião para discutir o projeto 642,1
Preciso de uma reunião para discutir o projeto 138,1
Preciso de uma reunião para discutir o projeto 363,1
Preciso de uma reunião para discutir o projeto 172,1
Bom dia a todos! Apenas para informar 105,0
Preciso de uma reunião para discutir o projeto 264,1
Bom dia a todos! Apenas para informar 179,0
Preciso de uma reunião para discutir o projeto 589,1
Bom dia a todos! Apenas para informar 76,0
Bom dia a todos! Apenas para informar 77,0
Bom dia a todos! Apenas para informar 79,0
Bom dia a todos! Apenas para informar 87,0
Preciso de uma reunião para discutir o projeto 685,1
Preciso de uma reunião para discutir o projeto 407,1
Preciso de uma reunião para discutir o projeto 613,1
Bom dia a todos! Apenas para informar 99,0
Bom dia a todos! Apenas para informar 153,0
Bom dia a todos! Apenas para informar 177,0
Preciso de uma reunião para discutir o projeto 523,1
Bom dia a todos! Apenas para informar 167,0
Bom dia a todos! Apenas para informar 27,0
Bom dia a todos! Apenas para informar 158,0
Preciso de uma reunião para discutir o projeto 295,1
Bom dia a todos! Apenas para informar 10,0
Preciso de uma reunião para discutir o projeto 780,1
Bom dia a todos! Apenas para informar 167,0
Preciso de uma reunião para discutir o projeto 100,1
Bom dia a todos! Apenas para informar 169,0
Preciso de uma reunião para discutir o projeto 78,1
Preciso de uma reunião para discutir o projeto 115,1
Bom dia a todos! Apenas para informar 145,0
Preciso de uma reunião para discutir o projeto 729,1
Bom dia a todos! Apenas para informar 104,0
Bom dia a todos! Apenas para informar 91,0
Preciso de uma reunião para discutir o projeto 274,1
Bom dia a todos! Apenas para informar 84,0
Preciso de uma reunião para discutir o projeto 145,1
Preciso de uma reunião para discutir o projeto 563,1
Preciso de uma reunião para discutir o projeto 99,1
Bom dia a todos! Apenas para informar 40,0
Bom dia a todos! Apenas para informar 127,0
Bom dia a todos! Apenas para informar 40,0
Preciso de uma reunião para discutir o projeto 524,1
Bom dia a todos! Apenas para informar 156,0
Preciso de uma reunião para discutir o projeto 3,1
Preciso de uma reunião para discutir o projeto 354,1
Preciso de uma reunião para discutir o projeto 617,1
Preciso de uma reunião para discutir o projeto 741,1
Bom dia a todos! Apenas para informar 141,0
Preciso de uma reunião para discutir o projeto 791,1
Bom dia a todos! Apenas para informar 23,0
Preciso de uma reunião para discutir o projeto 293,1
Bom dia a todos! Apenas para informar 30,0
Bom dia a todos! Apenas para informar 174,0
Preciso de uma reunião para discutir o projeto 716,1
Bom dia a todos! Apenas para informar 199,0
Bom dia a todos! Apenas para informar 144,0
Preciso de uma reunião para discutir o projeto 351,1
Preciso de uma reunião para discutir o projeto 480,1
Bom dia a todos! Apenas para informar 159,0
Bom dia a todos! Apenas para informar 35,0
Bom dia a todos! Apenas para informar 96,0
Preciso de uma reunião para discutir o projeto 762,1
Bom dia a todos! Apenas para informar 196,0
Bom dia a todos! Apenas para informar 104,0
Bom dia a todos! Apenas para informar 9,0
Bom dia a todos! Apenas para informar 14,0
Bom dia a todos! Apenas para informar 15,0
Bom dia a todos! Apenas para informar 67,0
Preciso de uma reunião para discutir o projeto 367,1
Bom dia a todos! Apenas para informar 145,0
Bom dia a todos! Apenas para informar 97,0
Bom dia a todos! Apenas para informar 117,0
Bom dia a todos! Apenas para informar 80,0
Preciso de uma reunião para discutir o projeto 680,1
Bom dia a todos! Apenas para informar 187,0
Bom dia a todos! Apenas para informar 61,0
Bom dia a todos! Apenas para informar 40,0
Preciso de uma reunião para discutir o projeto 705,1
Preciso de uma reunião para discutir o projeto 391,1
Preciso de uma reunião para discutir o projeto 487,1
Preciso de uma reunião para discutir o projeto 476,1
Preciso de uma reunião para discutir o projeto 94,1
Bom dia a todos! Apenas para informar 40,0
Bom dia a todos! Apenas para informar 120,0
Bom dia a todos! Apenas para informar 169,0
Bom dia a todos! Apenas para informar 60,0
Bom dia a todos! Apenas para informar 194,0
Bom dia a todos! Apenas para informar 83,0
Preciso de uma reunião para discutir o projeto 272,1
Preciso de uma reunião para discutir o projeto 650,1
Bom dia a todos! Apenas para informar 77,0
Preciso de uma reunião para discutir o projeto 798,1
Bom dia a todos! Apenas para informar 110,0
Preciso de uma reunião para discutir o projeto 520,1
Preciso de uma reunião para discutir o projeto 623,1
Bom dia a todos! Apenas para informar 102,0
Bom dia a todos! Apenas para informar 64,0
Preciso de uma reunião para discutir o projeto 656,1
Preciso de uma reunião para discutir o projeto 591,1
Preciso de uma reunião para discutir o projeto 209,1
Preciso de uma reunião para discutir o projeto 317,1
Preciso de uma reunião para discutir o projeto 313,1
Bom dia a todos! Apenas para informar 30,0
Bom dia a todos! Apenas para informar 54,0
Bom dia a todos! Apenas para informar 64,0
Preciso de uma reunião para discutir o projeto 489,1
Bom dia a todos! Apenas para informar 144,0
Preciso de uma reunião para discutir o projeto 515,1
Bom dia a todos! Apenas para informar 107,0
Bom dia a todos! Apenas para informar 128,0
Preciso de uma reunião para discutir o projeto 359,1
Bom dia a todos! Apenas para informar 147,0
Bom dia a todos! Apenas para informar 85,0
Preciso de uma reunião para discutir o projeto 175,1
Bom dia a todos! Apenas para informar 193,0
Bom dia a todos! Apenas para informar 31,0
Preciso de uma reunião para discutir o projeto 234,1
Bom dia a todos! Apenas para informar 142,0
Preciso de uma reunião para discutir o projeto 788,1
Bom dia a todos! Apenas para informar 91,0
Bom dia a todos! Apenas para informar 140,0
Preciso de uma reunião para discutir o projeto 732,1
Preciso de uma reunião para discutir o projeto 488,1
Preciso de uma reunião para discutir o projeto 416,1
Bom dia a todos! Apenas para informar 62,0
Bom dia a todos! Apenas para informar 76,0
Bom dia a todos! Apenas para informar 10,0
Preciso de uma reunião para discutir o projeto 147,1
Preciso de uma reunião para discutir o projeto 410,1
Bom dia a todos! Apenas para informar 75,0
Preciso de uma reunião para discutir o projeto 661,1
Bom dia a todos! Apenas para informar 51,0
Preciso de uma reunião para discutir o projeto 603,1
Bom dia a todos! Apenas para informar 33,0
Preciso de uma reunião para discutir o projeto 566,1
Bom dia a todos! Apenas para informar 128,0
Preciso de uma reunião para discutir o projeto 231,1
Preciso de uma reunião para discutir o projeto 750,1
Bom dia a todos! Apenas para informar 10,0
Bom dia a todos! Apenas para informar 32,0
Bom dia a todos! Apenas para informar 119,0
Bom dia a todos! Apenas para informar 147,0
Preciso de uma reunião para discutir o projeto 495,1
Bom dia a todos! Apenas para informar 183,0
Bom dia a todos! Apenas para informar 87,0
Preciso de uma reunião para discutir o projeto 585,1
Preciso de uma reunião para discutir o projeto 221,1
Preciso de uma reunião para discutir o projeto 178,1
Bom dia a todos! Apenas para informar 150,0
Bom dia a todos! Apenas para informar 143,0
Bom dia a todos! Apenas para informar 35,0
Bom dia a todos! Apenas para informar 172,0
Bom dia a todos! Apenas para informar 41,0
Preciso de uma reunião para discutir o projeto 35,1
Bom dia a todos! Apenas para informar 14,0
Preciso de uma reunião para discutir o projeto 61,1
Bom dia a todos! Apenas para informar 5,0
Preciso de uma reunião para discutir o projeto 501,1
Preciso de uma reunião para discutir o projeto 693,1
Bom dia a todos! Apenas para informar 14,0
Preciso de uma reunião para discutir o projeto 508,1
Bom dia a todos! Apenas para informar 199,0
Preciso de uma reunião para discutir o projeto 575,1
Preciso de uma reunião para discutir o projeto 472,1
Preciso de uma reunião para discutir o projeto 332,1
Bom dia a todos! Apenas para informar 113,0
Bom dia a todos! Apenas para informar 8,0
Preciso de uma reunião para discutir o projeto 66,1
Bom dia a todos! Apenas para informar 133,0
Preciso de uma reunião para discutir o projeto 42,1
Bom dia a todos! Apenas para informar 14,0
Bom dia a todos! Apenas para informar 23,0
Bom dia a todos! Apenas para informar 18,0
Bom dia a todos! Apenas para informar 150,0
Bom dia a todos! Apenas para informar 171,0
Bom dia a todos! Apenas para informar 59,0
Bom dia a todos! Apenas para informar 117,0
Bom dia a todos! Apenas para informar 179,0
Bom dia a todos! Apenas para informar 43,0
Preciso de uma reunião para discutir o projeto 594,1
Bom dia a todos! Apenas para informar 43,0
Preciso de uma reunião para discutir o projeto 11,1
Preciso de uma reunião para discutir o projeto 322,1
Bom dia a todos! Apenas para informar 65,0
Bom dia a todos! Apenas para informar 154,0
Preciso de uma reunião para discutir o projeto 421,1
Preciso de uma reunião para discutir o projeto 456,1
Bom dia a todos! Apenas para informar 77,0
Bom dia a todos! Apenas para informar 2,0
Preciso de uma reunião para discutir o projeto 790,1
Preciso de uma reunião para discutir o projeto 483,1
Bom dia a todos! Apenas para informar 21,0
Preciso de uma reunião para discutir o projeto 372,1
Preciso de uma reunião para discutir o projeto 609,1
Bom dia a todos! Apenas para informar 188,0
Preciso de uma reunião para discutir o projeto 157,1
Preciso de uma reunião para discutir o projeto 738,1
Bom dia a todos! Apenas para informar 181,0
Preciso de uma reunião para discutir o projeto 230,1
Preciso de uma reunião para discutir o projeto 485,1
Preciso de uma reunião para discutir o projeto 398,1
Preciso de uma reunião para discutir o projeto 302,1
Bom dia a todos! Apenas para informar 137,0
Preciso de uma reunião para discutir o projeto 684,1
Bom dia a todos! Apenas para informar 53,0
Bom dia a todos! Apenas para informar 172,0
Preciso de uma reunião para discutir o projeto 252,1
Preciso de uma reunião para discutir o projeto 426,1
Bom dia a todos! Apenas para informar 125,0
Bom dia a todos! Apenas para informar 26,0
Preciso de uma reunião para discutir o projeto 18,1
Bom dia a todos! Apenas para informar 198,0
Bom dia a todos! Apenas para informar 183,0
Bom dia a todos! Apenas para informar 139,0
Preciso de uma reunião para discutir o projeto 28,1
Bom dia a todos! Apenas para informar 68,0
Preciso de uma reunião para discutir o projeto 449,1
Bom dia a todos! Apenas para informar 116,0
Preciso de uma reunião para discutir o projeto 326,1
Preciso de uma reunião para discutir o projeto 23,1
Bom dia a todos! Apenas para informar 36,0
Bom dia a todos! Apenas para informar 183,0
Bom dia a todos! Apenas para informar 62,0
Preciso de uma reunião para discutir o projeto 287,1
Preciso de uma reunião para discutir o projeto 48,1
Bom dia a todos! Apenas para informar 117,0
Preciso de uma reunião para discutir o projeto 734,1
Bom dia a todos! Apenas para informar 16,0
Bom dia a todos! Apenas para informar 165,0
Bom dia a todos! Apenas para informar 118,0
Preciso de uma reunião para discutir o projeto 486,1
Preciso de uma reunião para discutir o projeto 15,1
Preciso de uma reunião para discutir o projeto 743,1
Preciso de uma reunião para discutir o projeto 163,1
Bom dia a todos! Apenas para informar 137,0
Preciso de uma reunião para discutir o projeto 761,1
Preciso de uma reunião para discutir o projeto 568,1
Bom dia a todos! Apenas para informar 81,0
Preciso de uma reunião para discutir o projeto 717,1
Preciso de uma reunião para discutir o projeto 638,1
Preciso de uma reunião para discutir o projeto 121,1
Bom dia a todos! Apenas para informar 167,0
Bom dia a todos! Apenas para informar 153,0
Preciso de uma reunião para discutir o projeto 139,1
Bom dia a todos! Apenas para informar 184,0
Preciso de uma reunião para discutir o projeto 65,1
Preciso de uma reunião para discutir o projeto 615,1
Bom dia a todos! Apenas para informar 64,0
Bom dia a todos! Apenas para informar 133,0
Preciso de uma reunião para discutir o projeto 655,1
Bom dia a todos! Apenas para informar 87,0
Preciso de uma reunião para discutir o projeto 561,1
Preciso de uma reunião para discutir o projeto 509,1
Preciso de uma reunião para discutir o projeto 342,1
Preciso de uma reunião para discutir o projeto 111,1
Bom dia a todos! Apenas para informar 82,0
Bom dia a todos! Apenas para informar 142,0
Bom dia a todos! Apenas para informar 0,0
Preciso de uma reunião para discutir o projeto 404,1
Bom dia a todos! Apenas para informar 184,0
Preciso de uma reunião para discutir o projeto 244,1
Bom dia a todos! Apenas para informar 140,0
Preciso de uma reunião para discutir o projeto 423,1
Preciso de uma reunião para discutir o projeto 67,1
Bom dia a todos! Apenas para informar 19,0
Preciso de uma reunião para discutir o projeto 593,1
Preciso de uma reunião para discutir o projeto 439,1
Bom dia a todos! Apenas para informar 111,0
Preciso de uma reunião para discutir o projeto 462,1
Bom dia a todos! Apenas para informar 65,0
Bom dia a todos! Apenas para informar 25,0
Bom dia a todos! Apenas para informar 42,0
Bom dia a todos! Apenas para informar 0,0
Bom dia a todos! Apenas para informar 137,0
Bom dia a todos! Apenas para informar 44,0
Bom dia a todos! Apenas para informar 34,0
Preciso de uma reunião para discutir o projeto 45,1
Preciso de uma reunião para discutir o projeto 677,1
Bom dia a todos! Apenas para informar 132,0
Bom dia a todos! Apenas para informar 95,0
Bom dia a todos! Apenas para informar 113,0
Preciso de uma reunião para discutir o projeto 207,1
Preciso de uma reunião para discutir o projeto 727,1
Preciso de uma reunião para discutir o projeto 366,1
Preciso de uma reunião para discutir o projeto 450,1
Bom dia a todos! Apenas para informar 10,0
Preciso de uma reunião para discutir o projeto 83,1
Bom dia a todos! Apenas para informar 55,0
Bom dia a todos! Apenas para informar 75,0
Preciso de uma reunião para discutir o projeto 552,1
Bom dia a todos! Apenas para informar 121,0
Bom dia a todos! Apenas para informar 49,0
Preciso de uma reunião para discutir o projeto 622,1
Preciso de uma reunião para discutir o projeto 739,1
Bom dia a todos! Apenas para informar 82,0
Bom dia a todos! Apenas para informar 182,0
Preciso de uma reunião para discutir o projeto 119,1
Bom dia a todos! Apenas para informar 199,0
Preciso de uma reunião para discutir o projeto 659,1
Preciso de uma reunião para discutir o projeto 799,1
Bom dia a todos! Apenas para informar 157,0
Preciso de uma reunião para discutir o projeto 632,1
Preciso de uma reunião para discutir o projeto 646,1
Preciso de uma reunião para discutir o projeto 592,1
Bom dia a todos! Apenas para informar 39,0
Preciso de uma reunião para discutir o projeto 581,1
Preciso de uma reunião para discutir o projeto 12,1
Bom dia a todos! Apenas para informar 49,0
Preciso de uma reunião para discutir o projeto 712,1
Bom dia a todos! Apenas para informar 134,0
Preciso de uma reunião para discutir o projeto 492,1
Preciso de uma reunião para discutir o projeto 285,1
Preciso de uma reunião para discutir o projeto 169,1
Bom dia a todos! Apenas para informar 58,0
Preciso de uma reunião para discutir o projeto 670,1
Bom dia a todos! Apenas para informar 168,0
Preciso de uma reunião para discutir o projeto 730,1
Preciso de uma reunião para discutir o projeto 1,1
Bom dia a todos! Apenas para informar 37,0
Bom dia a todos! Apenas para informar 135,0
Bom dia a todos! Apenas para informar 185,0
Preciso de uma reunião para discutir o projeto 113,1
Bom dia a todos! Apenas para informar 74,0
Preciso de uma reunião para discutir o projeto 224,1
Preciso de uma reunião para discutir o projeto 73,1
Bom dia a todos! Apenas para informar 98,0
Preciso de uma reunião para discutir o projeto 583,1
Preciso de uma reunião para discutir o projeto 240,1
Preciso de uma reunião para discutir o projeto 304,1
Preciso de uma reunião para discutir o projeto 131,1
Bom dia a todos! Apenas para informar 85,0
